INFO  - 2014-07-22 14:39:35.678; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-07-22 14:39:35.694; org.apache.solr.core.SolrResourceLoader; No /solr/home in JNDI
INFO  - 2014-07-22 14:39:35.695; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/example/solr-instrucs
INFO  - 2014-07-22 14:39:35.697; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/example/solr-instrucs/'
INFO  - 2014-07-22 14:39:35.922; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/example/solr-instrucs/solr.xml
INFO  - 2014-07-22 14:39:36.068; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/example/solr-instrucs
INFO  - 2014-07-22 14:39:36.081; org.apache.solr.core.CoreContainer; New CoreContainer 222712832
INFO  - 2014-07-22 14:39:36.082; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/example/solr-instrucs/]
INFO  - 2014-07-22 14:39:36.104; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-07-22 14:39:36.104; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-07-22 14:39:36.110; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-07-22 14:39:36.110; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-07-22 14:39:36.110; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-07-22 14:39:36.111; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-07-22 14:39:36.111; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-07-22 14:39:36.111; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-07-22 14:39:36.113; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-07-22 14:39:36.214; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-07-22 14:39:36.215; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-07-22 14:39:36.217; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2014-07-22 14:39:36.299; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/example/solr-instrucs
INFO  - 2014-07-22 14:39:36.331; org.apache.solr.core.CorePropertiesLocator; Found core trees in /home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/example/solr-instrucs/trees/
INFO  - 2014-07-22 14:39:36.333; org.apache.solr.core.CorePropertiesLocator; Found core names in /home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/example/solr-instrucs/names/
INFO  - 2014-07-22 14:39:36.334; org.apache.solr.core.CorePropertiesLocator; Found core relations in /home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/example/solr-instrucs/relations/
INFO  - 2014-07-22 14:39:36.334; org.apache.solr.core.CorePropertiesLocator; Found 3 core definitions
